NM_SETOR_TEMA;NR_ANO;NM_TECNOLOGIAS;NM_TEC_RESUM;DS_DIFUSAO_TECNOLOGICA_5ANOS;NR_DIFUSAO_TECNOLOGICA_5ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_5ANOS_FIM;DS_DIFUSAO_TECNOLOGICA_10ANOS;NR_DIFUSAO_TECNOLOGICA_10ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_10ANOS_FIM;DS_DIFUSAO_TECNOLOGICA_15ANOS;NR_DIFUSAO_TECNOLOGICA_15ANOS_INICIO;NR_DIFUSAO_TECNOLOGICA_15ANOS_FIM;NM_FT_ORGANIZACIONAL;DS_FT_ORGANIZACIONAL;DS_EMP_IMPACTADAS_5ANOS;PC_EMP_IMPACTADAS_5ANOS;DS_EMP_IMPACTADAS_10ANOS;PC_EMP_IMPACTADAS_10ANOS;NM_NV_OCUP;DS_NV_OCUP;DS_DEMANDA_EMP_5ANOS;NR_DEMANDA_EMP_5ANOS;DS_DEMANDA_EMP_10ANOS;NR_DEMANDA_EMP_10ANOS;NM_CONHEC_NV_OCUP;NM_HAB_NV_OCUP;NM_OCUP;NM_ATIV;NM_NOVAS_ATIV;NM_CONHEC;NM_CONHEC_DETALHADOS;NM_NV_CONHEC;NM_HABIL;NM_NV_HABIL;NM_CAPAC;NM_NV_CAPAC;NM_OUTRAS_OCUP;NM_ESTILOS_TRABALHO;CD_CNAE20_DIV;CD_CNAE20_GRUPO;CD_CNAE20_CLASSE;CD_CNAE23_SUBCLASSE
Automação e Mecatrônica;2017;Sistemas especialistas (Lógica Fuzzy e neuro Fuzzy);Sistemas especialistas;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Sistemas EDDL/FDT-DTM/FDI para criação de linguagem de conversão;Conversão linguagem;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Sistemas especialistas como ferramenta de suporte a decisão e IA (controle automático);IA em automação;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Automação digital sem sensores;Automação sem sensores;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2017;Robótica colaborativa;Robótica colaborativa;Não ocorrerá difusão;0;0;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;;;;;;;;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Automação Industrial;;;;;;Gestão de recursos de pessoal;;Visão periférica;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Automação Industrial;;;;;;Gestão de recursos financeiros;;Clareza de expressão;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Automação Industrial;;;;;;Gestão de recursos de materiais;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Automação Industrial;;;;;;Gestão do tempo;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Instalação;;Controle de tempo de resposta;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Programação;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Projetos tecnológicos;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Análise de sistemas;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Gestão de recursos materiais;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Mecatrônica;;;;;;Gestão do tempo;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Projetos tecnológicos;;Raciocínio abdutivo;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Manutenção de equipamentos;;Raciocínio matemático;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Programação;;Velocidade de organização e resposta;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Análise de sistemas;;Visualização;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Avaliação de sistemas;;Controle e precisão;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Robotista ou Operador de Sistemas robóticos;;;;;;Gestão do tempo;;Destreza manual;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Gestão de recursos materiais;;Visualização;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Gestão do tempo;;Raciocínio dedutivo;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Análise de sistemas;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Monitoramento de operações;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Programação;;;;;;26, 27, 28;;;
Automação e Mecatrônica;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em Instrumentação Industrial;;;;;;Projetos tecnológicos;;;;;;26, 27, 28;;;
Automotivo;2019;Tintas e produtos para tratamento de superfície de vidro e controle de translucidez;Tratamento vidro;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Configurar dispositivos móveis (externos);;Língua Estrangeira;;;Avaliação de sistemas;;Velocidade perceptiva;;;;29;;;
Automotivo;2019;Produtos a base de biomassa para estofados;Biomassa estofados;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Diagnosticar rede CAN (multiplex);;;;;Aprendizagem estratégica;;Raciocínio abstrato;;;;29;;;
Automotivo;2019;Novos materiais poliméricos para carroceria;Polímeros carroceria;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Instalar sistemas de geração de energias;;Computadores, Eletrônica e automação;;;Pensamento crítico;;Ordenação de informações;;;;29;;;
Automotivo;2019;Plásticos biodegradáveis;Plásticos biodegradáveis;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Instalar sistemas de recargas de veícilos elétricos.;;Construções;;;Aprendizagem ativa;;Compreensão oral;;;;29;;;
Automotivo;2019;Materiais cerâmicos;Materiais cerâmicos;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Interpletar  projetos elétricos;;Administração e Gestão;;;Matemática;;Raciocínio numérico;;;;29;;;
Automotivo;2019;Scanner de diagnostico com novas formas de comunicação (ex: via smartphone, tablet, nuvem);Diagnóstico móvel;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Diagnosticar conectividade veicular;;Administração e Gestão;;;Aprendizagem ativa;;Multitarefa;;;;29;;;
Automotivo;2019;Google glass como referencia e informação técnica;Google Glass;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Reparar conectividade veicular;;Computadores, Eletrônica e automação;;;Escuta ativa;;Pensamento crítico;;;;29;;;
Automotivo;2019;Pintura a base d´agua.;Pintura à base d'água;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Atualizar softwares dos sistemas;;Produção e Processamento;;;Manutenção de equipamentos;;Ordenação de informações;;;;29;;;
Automotivo;2019;Interação com o condutor para  manutenção preventiva periódica;Manutenção preventiva;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico em Conectividade Veicular;Calibrar sensores e atuadores;;Telecomunicações;;;Instalação;;Raciocínio numérico;;;;29;;;
Automotivo;2019;Novas tecnologias de sistemas de transmissão. (Automática, automatizada, CVT, dupla embreagem, etc..);Transmissão avançada;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;Língua Estrangeira;;;Operação e controle;;;;;;29;;;
Automotivo;2019;Sistema de navegação com racionalização de rotas.;Navegação otimizada;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;Transportes;;;Monitoramento de operações;;;;;;29;;;
Automotivo;2019;Componentes de controle eletrônico (ex: estabilidade, tração e etc.);Controle eletrônico;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;Meio ambiente;;;Análise de operações;;;;;;29;;;
Automotivo;2019;Aços especiais, ligas leves de titânio ou magnésio e alumínio de maior resistência.;Ligas leves;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Análise de controle de qualidade;;;;;;29;;;
Automotivo;2019;Tecnologias para conexão entre todos os acessórios de forma sistêmica;Conexão sistêmica;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Programação;;;;;;29;;;
Automotivo;2019;Pneus reservas com menos peso.;Pneus leves;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Reparos;;;;;;29;;;
Automotivo;2019;Sistema de pós tratamento de gases do escape. (linha Diesel).;Tratamento gases;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Projetos tecnológicos;;;;;;29;;;
Automotivo;2019;Sistema de sinalização de emergência em situações de pânico (ex: diferenciação de níveis de frenagem);Sinalização emergência;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Solução de problemas;;;;;;29;;;
Automotivo;2019;Processo de logística reversa para produtos de agressão aos mananciais (resíduos de óleos e combustíveis, baterias, embalagens, tintas e vernizes etc);Logística reversa mananciais;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Análise de sistemas;;;;;;29;;;
Automotivo;2019;Processo de logística reversa para outros produtos (pneus, material de frenagem, peças contaminadas - filtros, juntas etc);Logística reversa produtos;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Gestão do tempo;;;;;;29;;;
Automotivo;2019;Processos compartilhados de logística e estoque (redes).;Logística compartilhada;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;;;;;;Fluência digital;;;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;Fluência digital;;Destreza manual;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;Instalação;;Controle de tempo de resposta;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;Programação;;Atenção auditiva;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;Solução de problemas;;Clareza de expressão;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;;;Flexibilidade dinâmica;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Tecnólogo em sistemas automotivos;;;;;;;;Coordenação corporal;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Mecânico de veículos leves;;;;;;Julgamento e tomada de decisões;;;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Mecânico de veículos leves;;;;;;Gestão do tempo;;;;;;29;;;
Automotivo;2019;Células de baterias Li-Po (Polímero de Lítio);Baterias Li-Po;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Configurar sistemas off grid  e on grid;;Engenharia e Tecnologias;;;Compreensão de leitura;;Percepção de problemas;;;;29;;;
Automotivo;2019;Sistemas de injeção direta de combustível;Injeção direta;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Diagnosticar falhas em sistemas de recargas.;;Física;;;Comunicação;;Flexibilidade para categorização;;;;29;;;
Automotivo;2019;Novas tecnologias de motores sobrealimentados;Motores sobrealimentados;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Executar manutenção (reparar) em sistemas de recargas.;;Mecânica;;;Coordenação;;Compreensão escrita;;;;29;;;
Automotivo;2019;Novas tecnologias de conectividades. (rede can, big data, infotainment, etc.);Conectividade avançada;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Configurar sistemas smart grids;;Legislação e Governo;;;Orientação a serviços;;Destreza manual;;;;29;;;
Automotivo;2019;Iluminação led;Iluminação LED;51 a 70% do mercado;51;70;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Analisar funcionameto dos sistema (presctivo).;;Produção e Processamento;;;Resolução de problemas complexos;;Coordenação corporal;;;;29;;;
Automotivo;2019;Novos sistemas de segurança (ex: Detector de fadiga, detector de pedestres, controle de aproximação).;Segurança avançada;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Diagnosticar falhas em sistemas de geração de energias;;Matemática;;;Manutenção de equipamentos;;Visão de perto;;;;29;;;
Automotivo;2019;Motores controlados eletronicamente, dispensando comandos de válvulas mecânicos;Motores eletrônicos;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Executar manutenção (reparar) em sistemas de geração de energias;;Serviços;;;Seleção de equipamentos;;Raciocínio dedutivo;;;;29;;;
Automotivo;2019;Veículos híbridos / elétrico;Veículos híbridos/elétricos;31 a 50% do mercado;31;50;51 a 70% do mercado;51;70;;0;0;;;;0;;0;;;;0;;0;;;Técnico de energias para o setor automotivo;Executar projetos elétricos;;Telecomunicações;;;Instalação;;;;;;29;;;
Automotivo;2023;;;;0;0;;0;0;;0;0;;;;;;;;;;;;;;;Técnico em manutenção automotiva;;;;;;Julgamento e tomada de decisões;;;;;;29;;;
Celulose e Papel;2021;Crescimento do uso de matérias-primas à base de plantas para embalagens recicláveis;Matérias-primas vegetais;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;;;;;;;;;;;;Auxiliar de Fabricação de Fibra Celulósica;;;;;;Solução de problemas;;;;;;17;;;
Confecção de Vestuário;2021;Uso da Internet Industrial das Coisas para controle da produção;Internet industrial;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;;;;;;;;;;;;Tecnólogo em Produção do Vestuário;Pesquisar novas tecnologias para modernização e diversificação de processos;;Produção e Processamento;;;Aprendizagem estratégica;;Controle de tempo de resposta;;;;14;;;
Confecção de Vestuário;2021;Uso de sistema Big Data para o planejamento da produção;Big data;11 a 30% do mercado;11;30;31 a 50% do mercado;31;50;;0;0;;;;;;;;;;;;;;;Tecnólogo em Produção do Vestuário;Analizar base com grandes volumes de dados, por meio da utilização de sistemas de big data;;Engenharia e Tecnologias;;;Comunicação;;Controle e precisão;;;;14;;;
Confecção de Vestuário;2021;Uso de visão artificial nas etapas do processo produtivo;Visão artificial;Até 10% do mercado;0;10;Até 10% do mercado;0;10;;0;0;;;;;;;;;;;;;;;Tecnólogo em Produção do Vestuário;Monitorar indicadores em processos automatizados;;Meio ambiente;;;Supervisão;;Velocidade perceptiva;;;;14;;;
Confecção de Vestuário;2021;Fornecimento de roupas “inteligentes” (smart clothing) e funcionais;Roupas inteligentes;Até 10% do mercado;0;10;11 a 30% do mercado;11;30;;0;0;;;;;;;;;;;;;;;Tecnólogo em Produção do Vestuário;Implementar processos de produção sustentáveis;;Psicologia;;;;;Raciocínio dedutivo;;;;14;;;
